序号,标题,链接,类型,点赞数,评论数,发布时间,subtitle_status,subtitle_error
11,让前额叶多赢 习惯赢的感觉😋,https://www.xiaohongshu.com/explore/698605620000000009038d7b?xsec_token=ABb5YjMFeZM0t5ElUDwJ_yUfAMaHU9K1jVqJNuTInPUBQ=&xsec_source=pc_search,video,2.7万,844,2026-02-06 23:14:42,success,
12,是否有必要 是否能做到,https://www.xiaohongshu.com/explore/6984ee9e000000000b01189c?xsec_token=ABB4GcaIyZpoTDkACvj4Pk1RVt2x7qdy74BWa3VPckjM8=&xsec_source=pc_search,video,8021,419,2026-02-06 03:25:18,success,
13,如何让自己有一个优秀的前额叶🧠,https://www.xiaohongshu.com/explore/6983911d000000000b011274?xsec_token=AB9rXRprzs9MVI-USozDfM0Bd1TYUw6fJQFxKp4R7ADZQ=&xsec_source=pc_search,video,10万+,1915,2026-02-05 02:34:05,fail,no subtitlesArray in response
14,别把对方当成你的外置大脑,https://www.xiaohongshu.com/explore/6982446b000000000a030aa7?xsec_token=ABY0Ry16W_CvJIigqZ1s5DcWRndkByb7M0tzrSNvLnxVk=&xsec_source=pc_search,video,4万,1697,2026-02-04 02:54:35,success,
15,如何让小孩有一个发达的前额叶,https://www.xiaohongshu.com/explore/6980e2c1000000000a02a191?xsec_token=ABwN8r_ieDxgBc34rM0UU5FY-WHsuEehR62hEsbFRxIYY=&xsec_source=pc_search,video,4.3万,1228,2026-02-03 01:45:37,fail,no subtitlesArray in response
16,朋友们,https://www.xiaohongshu.com/explore/697fbac8000000000b009ee7?xsec_token=ABHyNEQR7Q0Si7dBznrM4M2UAhQbs_hgmC3fzX0K957xM=&xsec_source=pc_search,video,3.3万,1081,2026-02-02 04:42:49,success,
17,科普一下ADHD 顺便也别问我怎么看了,https://www.xiaohongshu.com/explore/697e7e26000000000a02f9ee?xsec_token=ABGKRlZ71oU6PCI5s5bZWZSvD2lInsQ1iVLwkm1Z29J_M=&xsec_source=pc_search,video,8947,957,2026-02-01 06:11:50,success,
18,呵护导师大脑 畅享舒适人生,https://www.xiaohongshu.com/explore/697cf8cf000000000a02bb7e?xsec_token=ABXkZobaMOdWGKIpYugiYfGIrqel1wEXD9P2caN31qFFM=&xsec_source=pc_search,video,2.5万,489,2026-01-31 02:30:39,fail,"ReadTimeout: HTTPSConnectionPool(host='api.bibigpt.co', port=443): Read timed out. (read timeout=120)"
19,法国同事对女性主义（feminism）的思考,https://www.xiaohongshu.com/explore/697cd6a3000000000a0287d9?xsec_token=ABXkZobaMOdWGKIpYugiYfGKsiPEXsqxRBY9F3CdP0fxw=&xsec_source=pc_search,normal,4722,233,2026-01-31 00:04:52,fail,"SSLError: HTTPSConnectionPool(host='api.bibigpt.co', port=443): Max retries exceeded with url: /api/v1/getSubtitle?url=https%3A%2F%2Fwww.xiaohongshu.com%2Fexplore%2F697cd6a3000000000a0287d9%3Fxsec_tok"
20,为何很难逃脱不幸的吸引子,https://www.xiaohongshu.com/explore/697b725d000000000c0344bb?xsec_token=ABlM0DPhkoWzTcpIEFqwTDnI6hJtllhEAB0y__l5pubs4=&xsec_source=pc_search,video,4.4万,1054,2026-01-29 22:44:45,fail,"SSLError: HTTPSConnectionPool(host='api.bibigpt.co', port=443): Max retries exceeded with url: /api/v1/getSubtitle?url=https%3A%2F%2Fwww.xiaohongshu.com%2Fexplore%2F697b725d000000000c0344bb%3Fxsec_tok"
